iter	Passed	Remaining
144	7929	46754
145	7980	46683
146	8039	46649
147	8099	46628
148	8138	46480
149	8166	46276
150	8222	46228
151	8289	46246
152	8333	46131
153	8385	46067
154	8444	46035
155	8498	45980
156	8550	45912
157	8605	45860
158	8656	45785
159	8701	45682
160	8752	45612
161	8806	45553
162	8868	45541
163	8899	45367
164	8921	45147
165	8959	45011
166	9007	44929
167	9040	44770
168	9070	44600
169	9118	44517
170	9170	44459
171	9190	44244
172	9222	44088
173	9256	43942
174	9351	44084
175	9378	43906
176	9439	43889
177	9469	43728
178	9489	43523
179	9546	43491
180	9598	43432
181	9654	43393
182	9709	43348
183	9733	43164
184	9780	43087
185	9833	43036
186	9893	43012
187	9912	42813
188	9949	42693
189	10004	42651
190	10060	42611
191	10094	42480
192	10132	42366
193	10185	42317
194	10233	42246
195	10301	42255
196	10361	42235
197	10418	42201
198	10449	42060
199	10485	41941
200	10539	41897
201	10580	41798
202	10608	41650
203	10668	41627
204	10700	41496
205	10772	41521
206	10798	41368
207	10854	41330
208	10908	41286
209	10938	41148
210	10977	41049
211	10991	40855
212	11052	40837
213	11106	40793
214	11136	40660
215	11187	40606
216	11216	40473
217	11281	40467
218	11325	40387
219	11377	40339
220	11437	40314
221	11491	40271
222	11540	40209
223	11574	40096
224	11626	40047
225	11649	39897
226	11706	39864
227	11735	39735
228	11795	39712
229	11821	39575
230	11867	39506
231	11925	39478
232	11964	39385
233	11992	39257
234	12011	39100
235	12062	39048
236	12101	38960
237	12120	38806
238	12168	38745
239	12203	38644
240	12233	38527
241	12298	38521
242	12373	38546
243	12428	38507
244	12468	38423
245	12514	38358
246	12570	38323
247	12622	38273
248	12668	38208
249	12721	38163
250	12770	38107
251	12818	38048
252	12855	37956
253	12917	37937
254	12971	37897
255	13022	37847
256	13078	37810
257	13123	37743
258	13180	37710
259	13228	37649
260	13275	37588
261	13370	37660
262	13426	37625
263	13481	37585
264	13541	37559
265	13589	37500
266	13639	37444
267	13698	37414
268	13757	37386
269	13816	37354
270	13862	37289
271	13929	37282
272	13985	37243
273	14041	37204
274	14101	37176
275	14159	37141
276	14215	37105
277	14270	37062
278	14353	37092
279	14451	37162
280	14524	37164
281	14574	37108
282	14624	37051
283	14678	37005
284	14752	37011
285	14807	36966
286	14861	36920
287	14919	36884
288	14970	36829
289	15024	36784
290	15073	36726
291	15129	36683
292	15186	36644
293	15240	36597
294	15296	36555
295	15391	36607
296	15441	36549
297	15492	36495
298	15546	36447
299	15606	36414
300	15655	36356
301	15718	36330
302	15763	36260
303	15817	36212
304	15876	36176
305	15928	36126
306	15979	36070
307	16036	36029
308	16097	35998
309	16144	35933
310	16196	35881
311	16244	35821
312	16298	35772
313	16368	35761
314	16445	35762
315	16498	35711
316	16555	35669
317	16609	35621
318	16660	35566
319	16713	35516
320	16755	35442
321	16812	35401
322	16875	35369
323	16938	35340
324	16997	35301
325	17055	35262
326	17108	35210
327	17157	35152
328	17216	35113
329	17267	35057
330	17327	35020
331	17396	35002
332	17459	34972
333	17513	34921
334	17563	34865
335	17606	34794
336	17652	34729
337	17713	34692
338	17772	34654
339	17831	34614
340	17883	34561
341	17945	34526
342	18005	34487
343	18060	34441
344	18113	34390
345	18168	34340
346	18222	34292
347	18272	34233
348	18333	34197
349	18432	34232
350	18490	34189
351	18538	34126
352	18596	34083
353	18623	33985
354	18687	33952
355	18740	33901
356	18799	33859
357	18856	33814
358	18906	33758
359	18965	33716
360	19010	33650
361	19069	33609
362	19124	33560
363	19179	33510
364	19232	33459
365	19279	33397
366	19327	33335
367	19386	33294
368	19456	33271
369	19519	33235
370	19580	33197
371	19632	33143
372	19681	33084
373	19742	33045
374	19801	33003
375	19862	32963
376	19919	32917
377	19980	32877
378	20031	32822
379	20090	32778
380	20146	32731
381	20202	32683
382	20260	32639
383	20312	32584
384	20362	32527
385	20447	32524
386	20507	32483
387	20555	32422
388	20613	32377
389	20659	32314
390	20710	32257
391	20766	32209
392	20821	32159
393	20866	32094
394	20922	32045
395	20981	32001
396	21033	31948
397	21081	31887
398	21140	31843
399	21181	31771
400	21239	31726
401	21293	31676
402	21345	31621
403	21437	31625
404	21510	31601
405	21574	31565
406	21627	31511
407	21682	31461
408	21740	31415
409	21790	31357
410	21845	31307
411	21908	31266
412	21966	31221
413	22032	31186
414	22088	31136
415	22145	31088
416	22195	31031
417	22248	30977
418	22308	30934
419	22357	30874
420	22432	30851
421	22497	30814
422	22553	30764
423	22603	30707
424	22660	30658
425	22715	30606
426	22744	30521
427	22799	30470
428	22854	30419
429	22901	30358
430	22952	30301
431	23011	30255
432	23071	30211
433	23120	30152
434	23188	30118
435	23244	30068
436	23302	30021
437	23349	29960
438	23410	29916
439	23498	29907
440	23553	29855
441	23611	29807
442	23672	29763
443	23721	29705
444	23763	29637
445	23817	29584
446	23868	29528
447	23921	29474
448	23973	29419
449	24033	29374
450	24088	29322
451	24142	29270
452	24196	29217
453	24247	29161
454	24300	29106
455	24358	29058
456	24409	29002
457	24477	28966
458	24570	28960
459	24639	28924
460	24693	28871
461	24745	28816
462	24801	28765
463	24855	28712
464	24902	28650
465	24956	28597
466	25017	28553
467	25087	28518
468	25128	28450
469	25178	28392
470	25237	28345
471	25294	28295
472	25339	28231
473	25392	28178
474	25465	28146
475	25539	28114
476	25601	28070
477	25644	28005
478	25697	27950
479	25742	27887
480	25799	27837
481	25854	27785
482	25911	27735
483	25961	27678
484	26015	27624
485	26065	27567
486	26116	27510
487	26168	27455
488	26225	27405
489	26279	27352
490	26334	27300
491	26393	27251
492	26452	27203
493	26536	27181
494	26584	27121
495	26632	27061
496	26659	26981
497	26702	26917
498	26761	26868
499	26813	26813
500	26870	26763
501	26918	26703
502	26959	26637
503	27007	26578
504	27074	26538
505	27122	26479
506	27171	26421
507	27224	26366
508	27272	26308
509	27328	26256
510	27376	26198
511	27440	26154
512	27508	26114
513	27564	26063
514	27621	26012
515	27677	25960
516	27736	25912
517	27788	25857
518	27840	25801
519	27875	25731
520	27928	25677
521	27987	25627
522	28041	25575
523	28100	25526
524	28160	25478
525	28219	25429
526	28268	25371
527	28314	25311
528	28375	25264
529	28414	25197
530	28465	25141
531	28524	25093
532	28592	25052
533	28641	24994
534	28694	24940
535	28743	24882
536	28796	24828
537	28838	24765
538	28900	24718
539	28945	24657
540	29005	24609
541	29054	24551
542	29118	24506
543	29181	24460
544	29232	24405
545	29293	24357
546	29344	24301
547	29398	24248
548	29459	24200
549	29503	24138
550	29578	24103
551	29627	24045
552	29680	23991
553	29734	23938
554	29784	23880
555	29828	23819
556	29883	23767
557	29940	23716
558	30000	23667
559	30049	23610
560	30096	23551
561	30175	23517
562	30234	23468
563	30293	23418
564	30355	23371
565	30406	23314
566	30445	23250
567	30493	23192
568	30555	23144
569	30622	23101
570	30654	23031
571	30702	22973
572	30753	22917
573	30813	22868
574	30862	22811
575	30923	22763
576	30975	22708
577	31033	22657
578	31086	22603
579	31133	22544
580	31200	22500
581	31248	22443
582	31301	22388
583	31362	22340
584	31403	22277
585	31464	22229
586	31515	22173
587	31553	22108
588	31619	22063
589	31682	22016
590	31734	21962
591	31791	21910
592	31856	21864
593	31905	21807
594	31964	21757
595	32026	21708
596	32083	21658
597	32135	21603
598	32199	21555
599	32261	21507
600	32304	21446
601	32357	21392
602	32408	21337
603	32468	21287
604	32545	21248
605	32605	21198
606	32694	21168
607	32744	21111
608	32791	21053
609	32846	21000
610	32894	20942
611	32946	20887
612	33004	20836
613	33057	20782
614	33117	20732
615	33168	20676
616	33220	20621
617	33271	20566
618	33339	20520
619	33390	20465
620	33441	20409
621	33496	20356
622	33547	20300
623	33612	20253
624	33710	20226
625	33756	20167
626	33807	20112
627	33859	20056
628	33910	20001
629	33968	19949
630	34019	19894
631	34069	19837
632	34121	19782
633	34172	19727
634	34223	19671
635	34303	19632
636	34356	19578
637	34408	19523
638	34449	19462
639	34502	19407
640	34540	19344
641	34599	19293
642	34652	19239
643	34749	19209
644	34795	19150
645	34847	19095
646	34899	19041
647	34951	18985
648	34999	18928
649	35043	18869
650	35083	18808
651	35134	18752
652	35193	18701
653	35269	18659
654	35319	18603
655	35376	18551
656	35431	18497
657	35484	18443
658	35542	18391
659	35586	18332
660	35644	18280
661	35710	18233
662	35774	18184
663	35825	18128
664	35878	18074
665	35933	18020
666	35995	17970
667	36048	17916
668	36096	17859
669	36144	17802
670	36191	17745
671	36240	17688
672	36299	17637
673	36354	17583
674	36410	17531
675	36453	17471
676	36509	17419
677	36568	17367
678	36628	17316
679	36691	17266
680	36780	17228
681	36836	17175
682	36880	17117
683	36932	17062
684	36986	17008
685	37031	16950
686	37089	16897
687	37114	16830
688	37173	16779
689	37218	16721
690	37279	16670
691	37356	16626
692	37415	16574
693	37482	16526
694	37529	16469
695	37588	16418
696	37641	16363
697	37696	16309
698	37774	16266
699	37847	16220
700	37894	16163
701	37947	16108
702	38002	16055
703	38033	15991
704	38086	15937
705	38144	15884
706	38196	15829
707	38245	15773
708	38268	15706
709	38306	15646
710	38370	15596
711	38422	15541
712	38471	15485
713	38522	15430
714	38573	15375
715	38633	15324
716	38690	15271
717	38758	15222
718	38850	15183
719	38905	15129
720	38962	15077
721	39030	15028
722	39076	14971
723	39122	14914
724	39166	14856
725	39219	14801
726	39275	14748
727	39320	14691
728	39390	14643
729	39435	14585
730	39496	14534
731	39551	14480
732	39600	14424
733	39649	14368
734	39690	14310
735	39731	14251
736	39807	14205
737	39870	14154
738	39927	14101
739	39971	14044
740	40028	13991
741	40075	13934
742	40126	13879
743	40185	13827
744	40240	13773
745	40289	13717
746	40336	13661
747	40443	13625
748	40499	13571
749	40546	13515
750	40600	13461
751	40651	13406
752	40712	13354
753	40772	13302
754	40833	13250
755	40935	13211
756	40995	13159
757	41057	13107
758	41107	13052
759	41161	12998
760	41219	12945
761	41243	12881
762	41294	12826
763	41350	12773
764	41406	12719
765	41482	12672
766	41538	12618
767	41598	12566
768	41646	12510
769	41702	12456
770	41762	12404
771	41813	12348
772	41907	12306
773	41953	12249
774	42000	12193
775	42048	12137
776	42105	12084
777	42153	12028
778	42195	11970
779	42243	11914
780	42304	11862
781	42361	11809
782	42413	11754
783	42492	11707
784	42549	11653
785	42601	11598
786	42647	11542
787	42695	11486
788	42741	11430
789	42791	11374
790	42842	11319
791	42938	11276
792	42998	11224
793	43057	11171
794	43106	11115
795	43176	11065
796	43254	11017
797	43361	10976
798	43510	10945
799	43665	10916
800	43762	10872
801	43814	10817
802	43840	10755
803	43884	10698
804	43938	10643
805	44025	10596
806	44080	10542
807	44141	10488
808	44196	10434
809	44256	10381
810	44312	10326
811	44367	10272
812	44428	10219
813	44480	10163
814	44544	10111
815	44600	10057
816	44663	10004
817	44725	9951
818	44788	9898
819	44847	9844
820	44905	9790
821	44969	9737
822	45039	9686
823	45103	9633
824	45158	9579
825	45209	9523
826	45265	9469
827	45320	9414
828	45374	9359
829	45433	9305
830	45483	9249
831	45551	9197
832	45603	9142
833	45645	9085
834	45699	9030
835	45753	8975
836	45804	8920
837	45860	8865
838	45910	8809
839	45949	8752
840	46024	8701
841	46091	8648
842	46145	8594
843	46201	8539
844	46254	8484
845	46305	8429
846	46350	8372
847	46404	8317
848	46457	8262
849	46511	8207
850	46578	8155
851	46620	8098
852	46664	8041
853	46716	7986
854	46769	7931
855	46824	7877
856	46871	7821
857	46908	7763
858	46954	7707
859	47002	7651
860	47083	7601
861	47142	7547
862	47195	7492
863	47249	7437
864	47295	7381
865	47344	7325
866	47396	7270
867	47449	7215
868	47509	7161
869	47564	7107
870	47650	7057
871	47702	7002
872	47754	6947
873	47810	6892
874	47856	6836
875	47915	6782
876	47960	6726
877	48008	6670
878	48090	6619
879	48143	6564
880	48200	6510
881	48258	6456
882	48296	6399
883	48336	6342
884	48376	6286
885	48415	6229
886	48471	6175
887	48522	6119
888	48596	6067
889	48665	6014
890	48719	5960
891	48748	5902
892	48790	5846
893	48840	5790
894	48896	5736
895	48944	5681
896	48997	5626
897	49052	5571
898	49127	5519
899	49173	5463
900	49230	5409
901	49275	5353
902	49323	5298
903	49348	5240
904	49406	5186
905	49457	5131
906	49500	5075
907	49555	5020
908	49583	4963
909	49653	4910
910	49712	4856
911	49768	4802
912	49812	4746
913	49871	4692
914	49916	4637
915	49963	4581
916	50003	4525
917	50055	4471
918	50137	4419
919	50201	4365
920	50241	4309
921	50305	4255
922	50364	4201
923	50411	4146
924	50465	4091
925	50524	4037
926	50575	3982
927	50639	3928
928	50721	3876
929	50764	3821
930	50809	3765
931	50836	3709
932	50889	3654
933	50944	3599
934	50985	3544
935	51033	3489
936	51086	3434
937	51140	3380
938	51215	3327
939	51268	3272
940	51319	3217
941	51376	3163
942	51431	3108
943	51486	3054
944	51537	2999
945	51589	2944
946	51638	2890
947	51720	2837
948	51776	2782
949	51820	2727
950	51867	2672
951	51909	2617
952	51951	2562
953	52010	2507
954	52049	2452
955	52097	2397
956	52183	2344
957	52239	2290
958	52280	2235
959	52303	2179
960	52357	2124
961	52407	2070
962	52465	2015
963	52512	1961
964	52561	1906
965	52612	1851
966	52667	1797
967	52754	1743
968	52806	1689
969	52862	1634
970	52914	1580
971	52963	1525
972	53025	1471
973	53074	1416
974	53102	1361
975	53131	1306
976	53213	1252
977	53276	1198
978	53335	1144
979	53387	1089
980	53429	1034
981	53482	980
982	53515	925
983	53565	870
984	53613	816
985	53662	761
986	53701	707
987	53767	653
988	53823	598
989	53880	544
990	53934	489
991	53990	435
992	54033	380
993	54085	326
994	54140	272
995	54219	217
996	54287	163
997	54345	108
998	54407	54
999	54446	0
